Module	Section	Sample Name	Source
FastQC	all_sections	CH09-02_S15_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH09-02_S15_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH05-21_S10_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH05-21_S10_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH07-06_S12_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH07-06_S12_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH05-01_S8_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH05-01_S8_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH09-13_S16_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH09-13_S16_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH05-24_S11_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH05-24_S11_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH05-21_S10_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH05-21_S10_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH01-38_S4_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH01-38_S4_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH07-24_S14_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH07-24_S14_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH10-11_S20_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH10-11_S20_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH09-28_S17_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH09-28_S17_L001_R1_001_val_1_fastqc.zip
